release_date_raw,time,actual,forecast,previous
"Feb 01, 1989 (Jan)",4:00,57.3,,59
"Jan 01, 1989 (Dec)",4:00,59,,58.4
"Dec 01, 1988 (Nov)",4:00,58.4,,57.2
"Nov 01, 1988 (Oct)",4:00,57.2,,58.6
"Oct 01, 1988 (Sep)",5:00,58.6,,59.2
"Sep 01, 1988 (Aug)",5:00,59.2,,60.6
"Aug 01, 1988 (Jul)",5:00,60.6,,63.6
"Jul 01, 1988 (Jun)",5:00,63.6,,57.7
"Jun 01, 1988 (May)",5:00,57.7,,57.6
"May 01, 1988 (Apr)",5:00,57.6,,57.9
"Apr 01, 1988 (Mar)",4:00,57.9,,57
"Mar 01, 1988 (Feb)",4:00,57,,60.3
"Feb 01, 1988 (Jan)",4:00,60.3,,61.5
"Jan 01, 1988 (Dec)",4:00,61.5,,59.3
"Dec 01, 1987 (Nov)",4:00,59.3,,65.3
"Nov 01, 1987 (Oct)",4:00,65.3,,62.1
"Oct 01, 1987 (Sep)",5:00,62.1,,62.7
"Sep 01, 1987 (Aug)",5:00,62.7,,64
"Aug 01, 1987 (Jul)",5:00,64,,61.2
"Jul 01, 1987 (Jun)",5:00,61.2,,63.4
"Jun 01, 1987 (May)",5:00,63.4,,59.8
"May 01, 1987 (Apr)",5:00,59.8,,61.6
"Apr 01, 1987 (Mar)",4:00,61.6,,55.4
"Mar 01, 1987 (Feb)",4:00,55.4,,59.8
"Feb 01, 1987 (Jan)",4:00,59.8,,55.4
"Jan 01, 1987 (Dec)",4:00,55.4,,57
